Model,IoU,F1,Precision,Recall,ROC-AUC,PR-AUC,Training Time (s),Model Type
TabNet-SimpleDownsampling,0.14976551724137932,0.2605148875932724,0.17825715786708696,0.48373875077964895,0.8472629942015784,0.151255349117609,3429.8072159290314,TabNet
TabNet-FullData,0.14222694224328078,0.2490344728937205,0.6310257339615802,0.15512786242537646,0.8536679969659852,0.27196952001819297,9494.529448986053,TabNet
TabNet-Downsampling,0.1389401106389802,0.24398141630297057,0.5809587663426081,0.15441504054174462,0.8642902267236208,0.27005520204395606,2826.37219953537,TabNet
TabNet-Upsampling,0.12537917087967643,0.22282120395327942,0.49661121380160195,0.14363360955181323,0.8511252583649572,0.23737725319307948,7456.995580673218,TabNet
XGBoost-BorderlineSMOTE,0.08509394848270994,0.15684162390122453,0.08851597806886742,0.6876058094983516,0.8622947770535998,0.2780203268777662,124.6507613658905,XGBoost
XGBoost-Upsampling,0.08232182598131443,0.15212079070229462,0.08560376535825684,0.6822596453711129,0.8569520258056248,0.27381134497756204,10.792177438735962,XGBoost
XGBoost-ADASYN,0.07736740070587066,0.14362305868022554,0.08010788108375196,0.6933974873028602,0.8554799412937809,0.26690478687027186,122.19277238845825,XGBoost
XGBoost-SMOTEENN,0.07441903019213175,0.13852887579406306,0.0765834047320899,0.7247616501826606,0.8595534702533998,0.22338822524848542,4634.383391857147,XGBoost
XGBoost-FullData,0.06184236097615148,0.11648124665002026,0.06285137870953635,0.7939053728949479,0.8655798215871562,0.2777097407799462,6.334789514541626,XGBoost
XGBoost-Downsampling,0.061534099945373705,0.1159342878359541,0.06253909132436136,0.7929252428049541,0.8648898865500267,0.26864210276983724,6.521028518676758,XGBoost
XGBoost-SimpleDownsampling,0.061172652709123525,0.11529255404943321,0.06214614603474898,0.7961329412812973,0.8662322591865741,0.2667948808202234,1.7129313945770264,XGBoost
RandomForest-BU48,0.059478616459362754,0.11227903146952113,0.06050794223075803,0.7775995723068698,0.8529085350146695,0.26074698657248896,273.3425681591034,Random Forest
RandomForest-SimpleDownsampling,0.059146131689186,0.11168644235117285,0.06014212418031662,0.781252784460483,0.8538748451899727,0.264762115597709,30.910299062728882,Random Forest
